grupo_presentacion,jurisdiccion_1,jurisdiccion_2,pares_estaciones,distancia_promedio_km,distancia_mediana_km,gap_carga_promedio_pct,gap_carga_mediana_pct,gap_carga_mediana_abs_pct,gap_volumen_promedio_litros,gap_volumen_mediano_litros,consistencia_hipotesis_pct,jurisdiccion_con_menor_carga_mas_frecuente,color_principal_hex,color_acento_hex,color_fondo_hex,color_visual_hex
Interpartido BA,Berazategui,Quilmes,5,1.5582,1.807,11.379999999999999,11.510000000000002,11.510000000000002,-73352960.0,-18830.0,40.0,Berazategui,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Berisso,La Plata,4,1.252,1.161,22.2,22.2,22.2,104347.5,73135.0,75.0,La Plata,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Ituzaingó,Moreno,4,1.3805,1.3705,15.9725,3.620000000000001,3.620000000000001,23592.499999999996,24240.0,75.0,Ituzaingó,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Malvinas Argentinas,Tigre,4,1.2607499999999998,1.137,854.0575,856.28,856.28,180665.0,185600.0,50.0,Malvinas Argentinas,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Esteban Echeverría,Ezeiza,4,1.09375,1.233,15.480000000000002,16.205,16.205,-53310.0,-59115.0,25.0,Ezeiza,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,San Isidro,4,1.0995,1.18,3.2,3.2,3.2,-62737.50000000001,-44340.000000000015,25.0,General San Martín,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,Tres de Febrero,4,1.302,1.2614999999999998,1838.0075,1829.935,1829.935,-33092.5,-41000.0,25.0,Tres de Febrero,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General San Martín,Vicente López,3,1.5056666666666667,1.556,4.239999999999999,5.699999999999999,5.699999999999999,60640.0,49320.00000000001,100.0,Vicente López,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Almirante Brown,Quilmes,3,1.2463333333333333,1.187,20.153333333333332,9.469999999999999,9.469999999999999,-6930.0,49580.000000000015,66.66666666666666,Almirante Brown,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Esteban Echeverría,Lomas de Zamora,3,1.6239999999999999,1.591,22.69333333333333,28.03,28.03,-31486.66666666667,-22480.000000000004,0.0,Lomas de Zamora,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General Rodríguez,Moreno,2,1.0245,1.0245,47.095,47.095,47.095,73770.00000000003,73770.00000000003,100.0,General Rodríguez,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Almirante Brown,Esteban Echeverría,2,1.707,1.707,23.285,23.285,23.285,62890.0,62890.0,100.0,Esteban Echeverría,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Lomas de Zamora,Quilmes,2,1.759,1.759,40.93,40.93,40.93,37944.999999999985,37944.999999999985,50.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,Malvinas Argentinas,2,1.2445,1.2445,14.415,14.415,14.415,-27115.0,-27115.0,0.0,José C. Paz,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,General Lavalle,La Costa,1,1.642,1.642,31.22,31.22,31.22,542380.0,542380.0,100.0,La Costa,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,San Miguel,1,1.84,1.84,30.0,30.0,30.0,590.0000000000034,590.0000000000034,100.0,San Miguel,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,Hurlingham,Tres de Febrero,1,1.92,1.92,16.799999999999997,16.799999999999997,16.799999999999997,16699.99999999999,16699.99999999999,100.0,Hurlingham,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Interpartido BA,José C. Paz,Moreno,1,0.289,0.289,21.88,21.88,21.88,-10570.0,-10570.0,0.0,Moreno,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Interpartido BA,Lanús,Quilmes,1,1.787,1.787,0.020000000000000462,0.020000000000000462,0.020000000000000462,-31480.00000000002,-31480.00000000002,0.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
